logsID,region,date,map,length,numplayers,blu_score,red_score
2635289,NAm,2020-07-24,cp_process_final,1407,12,0,5
2635328,NAm,2020-07-24,cp_snakewater,1897,12,2,1
2636435,EU,2020-07-25,cp_gullywash_pro,1459,10,3,1
2651296,NAm,2020-08-08,cp_process_final,1520,12,5,1
2651319,NAm,2020-08-08,cp_snakewater_final1,1096,12,5,0
2651596,NAm,2020-08-09,koth_product_rc11,674,14,2,0
2651636,NAm,2020-08-09,cp_process_final,1821,13,2,3
2652999,NAm,2020-08-10,koth_lakeside_final,829,18,1,2
2653026,NAm,2020-08-10,pl_upward,950,18,0,1
2653065,NAm,2020-08-10,pl_badwater_pro_v12,1090,12,1,1
2663564,NAm,2020-08-21,cp_process_final,1779,12,4,0
2663610,NAm,2020-08-21,cp_snakewater_final1,1943,13,2,4
2665544,unknown,2020-08-23,cp_snakewater_final1,931,12,5,0
2665596,unknown,2020-08-23,cp_gullywash_final1,1169,12,2,1
2674557,NAm,2020-09-01,koth_pro_viaduct_rc4,947,8,3,0
2674601,NAm,2020-09-01,koth_pro_viaduct_rc4,1824,10,3,2
2674670,NAm,2020-09-01,pl_upward,1595,10,1,0
2675585,unknown,2020-09-02,koth_ashville_rc2b,864,12,2,0
2675631,unknown,2020-09-02,cp_process_final,1076,12,5,0
2687549,unknown,2020-09-14,cp_process_final,1262,12,0,5
2687585,unknown,2020-09-14,cp_sunshine,1723,12,3,5
2698185,unknown,2020-09-25,cp_process_final,1242,15,5,0
2698234,unknown,2020-09-25,cp_process_final,1797,12,1,2
2711973,NAm,2020-10-10,pl_upward,1014,14,0,1
2712004,NAm,2020-10-10,koth_harvest_event,1564,18,3,2
2720728,NAm,2020-10-18,cp_snakewater_final1,1659,12,5,1
2720817,NAm,2020-10-18,koth_clearcut_b15c,1779,12,2,2
2720847,NAm,2020-10-18,koth_product_rcx,998,8,2,1
2746041,NAm,2020-11-09,ultiduo_baloo_v2,1349,4,2,0
2746074,NAm,2020-11-09,ultiduo_baloo_v2,1015,7,2,0
2746095,NAm,2020-11-09,ultiduo_baloo_v2,1219,7,0,2
2747794,NAm,2020-11-11,cp_villa_b17a,1212,12,0,5
2747820,NAm,2020-11-11,cp_metalworks,1572,10,5,1
2747873,NAm,2020-11-11,cp_sunshine,1758,10,2,2
2750920,NAm,2020-11-14,koth_product_rcx,1017,8,3,0
2750973,NAm,2020-11-14,cp_process_final,1345,12,5,0
2751077,NAm,2020-11-14,cp_snakewater_final1,1779,12,0,4
2751129,NAm,2020-11-14,cp_gullywash_final1,1500,10,2,5
2754724,NAm,2020-11-18,cp_process_final,1765,12,3,4
2759572,NAm,2020-11-23,koth_product_rcx,592,10,2,0
2759586,NAm,2020-11-23,koth_bagel_rc2a,580,8,2,0
2766052,NAm,2020-11-30,koth_product_rcx,713,14,2,0
2766098,NAm,2020-11-30,pl_upward,1053,14,0,1
2766129,NAm,2020-11-30,cp_snakewater_final1,478,10,0,2
2766166,NAm,2020-11-30,cp_snakewater_final1,926,12,1,3
2766180,NAm,2020-11-30,cp_snakewater_final1,671,10,0,3
2766200,NAm,2020-11-30,cp_snakewater_final1,272,10,0,3
2766214,NAm,2020-11-30,cp_snakewater_final1,618,10,0,3
2766229,NAm,2020-11-30,cp_snakewater_final1,723,10,3,1
2767854,NAm,2020-12-02,ultiduo_baloo,886,4,2,0
2767884,NAm,2020-12-02,ultiduo_baloo,1396,5,2,1
2767899,NAm,2020-12-02,ultiduo_baloo,733,4,0,2
2767941,NAm,2020-12-02,ultiduo_baloo,2017,4,1,2
2767963,NAm,2020-12-02,ultiduo_baloo,656,4,2,0
2767993,NAm,2020-12-02,ultiduo_baloo,1700,5,1,2
2768023,NAm,2020-12-02,ultiduo_baloo,1574,6,2,1
2768041,NAm,2020-12-02,ultiduo_baloo,1300,6,0,2
2768051,NAm,2020-12-02,ultiduo_baloo,1083,4,2,0
2769482,NAm,2020-12-04,pl_upward,1352,6,1,1
2769643,NAm,2020-12-04,koth_ultiduo,939,4,0,2
2769652,NAm,2020-12-04,koth_ultiduo,372,4,0,1
2771511,NAm,2020-12-06,cp_villa_b17a,2037,12,4,0
2773236,NAm,2020-12-08,koth_product_rcx,887,8,0,3
2773273,NAm,2020-12-08,koth_bagel_fall_rc1,990,8,3,0
2773310,NAm,2020-12-08,koth_clearcut_b15c,1907,8,2,3
2774910,NAm,2020-12-10,cp_villa_b17,882,12,5,1
2774979,NAm,2020-12-10,koth_bunkalow_rc1,1557,7,1,2
2776240,NAm,2020-12-12,koth_product_rcx,580,18,0,2
2776249,NAm,2020-12-12,koth_product_rcx,664,18,0,2
2776272,EU,2020-12-12,pl_upward,875,18,0,1
2778410,NAm,2020-12-14,koth_product_rcx,1779,8,2,2
2778474,NAm,2020-12-14,cp_process_final,1482,8,2,5
2779265,NAm,2020-12-15,koth_ordinance_b5a,1909,8,2,3
2779332,NAm,2020-12-15,koth_product_rcx,1346,8,1,3
2779411,NAm,2020-12-15,cp_gullywash_final1,665,11,5,0
2779451,NAm,2020-12-15,ultiduo_baloo_v2,1915,5,1,2
2779470,NAm,2020-12-15,ultiduo_baloo_v2,1275,4,2,0
2779478,NAm,2020-12-15,ultiduo_baloo_v2,1545,5,2,1
2783669,NAm,2020-12-20,ultiduo_baloo_v2,929,4,0,2
2784776,NAm,2020-12-21,ultiduo_baloo_v2,836,6,0,2
2784786,NAm,2020-12-21,ultiduo_baloo_v2,844,5,0,2
2784798,NAm,2020-12-21,ultiduo_baloo_v2,847,6,0,2
2784819,NAm,2020-12-21,ultiduo_baloo_v2,1285,4,2,0
2784837,NAm,2020-12-21,koth_ultiduo_r_b7,1658,5,2,1
2784855,NAm,2020-12-21,koth_ultiduo_r_b7,892,5,2,0
2784874,NAm,2020-12-21,koth_ultiduo_r_b7,940,5,2,0
2789447,NAm,2020-12-27,cp_gullywash_final1,1710,12,0,5
2789496,NAm,2020-12-27,pl_swiftwater_ugc,1268,15,1,0
2793491,NAm,2021-01-01,cp_process_final,2210,10,3,6
2793539,NAm,2021-01-01,cp_process_final,1778,12,0,4
2793592,NAm,2021-01-01,cp_villa_b17fix,1769,12,3,3
2794389,NAm,2021-01-02,ultiduo_baloo,1572,5,2,1
2794425,NAm,2021-01-02,ultiduo_baloo,1034,4,0,2
2794464,NAm,2021-01-02,ultiduo_baloo,1119,4,0,2
2797223,NAm,2021-01-05,cp_process_final,1486,12,1,5
2797269,NAm,2021-01-05,cp_process_final,1784,12,2,1
2797313,NAm,2021-01-05,cp_metalworks,1173,10,0,5
2803975,NAm,2021-01-12,cp_process_final,730,13,0,5
2804017,NAm,2021-01-12,cp_snakewater_final1,1774,12,1,4
2804851,NAm,2021-01-13,cp_process_final,1435,12,0,5
2804896,NAm,2021-01-13,cp_gullywash_final1,1563,12,2,5
2804952,NAm,2021-01-13,cp_sunshine,1774,12,3,2
2805022,NAm,2021-01-13,cp_metalworks,1784,12,2,1
2805078,NAm,2021-01-13,cp_villa_b17a,1505,13,5,1
2805096,NAm,2021-01-13,cp_snakewater_final1,724,12,0,5
2805108,NAm,2021-01-13,cp_gullywash_final1,1054,12,5,0
2808468,NAm,2021-01-17,cp_snakewater_final1,1112,12,0,3
2808492,NAm,2021-01-17,cp_process_final,783,12,0,3
2808506,NAm,2021-01-17,koth_clearcut_b15c,481,12,0,2
2808571,NAm,2021-01-17,cp_metalworks,1427,12,5,0
2808598,NAm,2021-01-17,cp_sunshine,1783,12,1,2
2809465,NAm,2021-01-18,cp_gullywash_final1,1769,12,3,3
2809497,NAm,2021-01-18,cp_snakewater_final1,1774,12,2,3
2809541,NAm,2021-01-18,koth_product_rcx,1774,12,1,4
2811526,NAm,2021-01-20,cp_process_final,1739,13,3,5
2811582,NAm,2021-01-20,cp_gullywash_final1,885,12,1,5
2813268,NAm,2021-01-22,cp_metalworks,1787,12,2,1
2813287,NAm,2021-01-22,koth_lakeside_final,565,14,0,2
2813314,NAm,2021-01-22,cp_gullywash_final1,1518,12,5,0
2814183,NAm,2021-01-23,cp_process_final,811,12,5,0
2814220,NAm,2021-01-23,cp_snakewater_final1,1535,12,5,0
2814263,NAm,2021-01-23,cp_gullywash_final1,1360,12,5,2
2814308,NAm,2021-01-23,cp_sunshine,1000,12,5,0
2814318,NAm,2021-01-23,koth_product_rcx,580,12,0,2
2814336,NAm,2021-01-23,koth_clearcut_b15c,533,12,2,0
2814373,NAm,2021-01-23,koth_lakeside_final,1349,13,3,1
2814386,NAm,2021-01-23,cp_metalworks,1236,11,1,5
2815302,NAm,2021-01-24,cp_gullywash_final1,1778,12,1,3
2815339,NAm,2021-01-24,cp_process_final,1779,12,1,3
2817412,NAm,2021-01-26,cp_process_final,892,12,5,0
2817425,NAm,2021-01-26,cp_gullywash_final1,882,13,5,0
2817454,NAm,2021-01-26,cp_metalworks,1778,12,0,4
2818439,NAm,2021-01-27,cp_process_final,1779,13,2,2
2819458,NAm,2021-01-28,cp_process_final,1990,12,5,0
2819516,NAm,2021-01-28,cp_gullywash_final1,1213,13,1,5
2819541,NAm,2021-01-28,cp_snakewater_final1,1774,13,3,2
2820450,NAm,2021-01-29,cp_metalworks,1775,13,4,1
2821316,NAm,2021-01-30,cp_process_f7,515,12,0,5
2821356,NAm,2021-01-30,cp_snakewater_final1,1723,12,5,0
2824535,EU,2021-02-02,koth_product_rcx,1635,8,2,3
2824601,EU,2021-02-02,cp_sunshine,1728,12,3,4
2827801,NAm,2021-02-05,cp_gullywash_final1,1253,12,0,5
2827818,NAm,2021-02-05,cp_process_final,747,12,0,5
2827839,NAm,2021-02-05,cp_snakewater_final1,1138,12,5,2
2827881,NAm,2021-02-05,koth_clearcut_b15d,2019,13,4,2
2828620,EU,2021-02-06,koth_product_rcx,1770,12,2,3
2828666,EU,2021-02-06,cp_snakewater_final1,617,12,0,3
2828723,NAm,2021-02-06,koth_badlands,1779,9,2,2
2833000,NAm,2021-02-10,cp_process_f7,741,13,5,0
2833011,NAm,2021-02-10,cp_snakewater_final1,1488,12,0,5
2833044,NAm,2021-02-10,cp_gullywash_final1,1206,12,2,5
2834090,NAm,2021-02-11,cp_process_final,1263,14,1,5
2834111,NAm,2021-02-11,cp_metalworks,892,12,5,1
2834173,NAm,2021-02-11,cp_snakewater_final1,1608,12,5,3
2834255,NAm,2021-02-11,cp_sunshine,1259,12,0,5
2834307,NAm,2021-02-11,cp_villa_b18,1218,12,1,5
2835047,NAm,2021-02-12,cp_process_f7,1784,12,2,1
2835056,NAm,2021-02-12,cp_snakewater_final1,1203,12,5,4
2835078,NAm,2021-02-12,cp_gullywash_final1,1515,12,5,3
2835087,NAm,2021-02-12,cp_sunshine,1802,13,1,2
2835127,NAm,2021-02-12,koth_product_rcx,1179,12,0,3
2835206,NAm,2021-02-12,koth_bagel_rc2a,1066,12,3,0
2835266,NAm,2021-02-12,cp_metalworks,1097,12,0,5
2835292,NAm,2021-02-12,cp_villa_b17a,794,12,5,1
2835352,NAm,2021-02-12,koth_clearcut_b15c,2408,12,3,3
2836015,EU,2021-02-13,cp_process_f7,1243,12,0,5
2836040,EU,2021-02-13,cp_snakewater_final1,896,13,0,5
2836076,EU,2021-02-13,cp_sunshine,1658,12,5,2
2836117,EU,2021-02-13,cp_gullywash_final1,1880,13,3,3
2836143,NAm,2021-02-13,cp_metalworks,774,12,5,1
2836182,NAm,2021-02-13,koth_product_rcx,964,12,0,3
2836215,NAm,2021-02-13,cp_snakewater_final1,1768,12,3,4
2837136,EU,2021-02-14,koth_product_rcx,939,12,3,0
2837166,EU,2021-02-14,cp_gullywash_final1,1342,13,0,5
2837285,NAm,2021-02-14,cp_process_f7,1779,12,0,4
2837330,NAm,2021-02-14,cp_snakewater_final1,1774,12,3,2
2837395,NAm,2021-02-14,cp_gullywash_final1,799,12,5,2
2837465,NAm,2021-02-14,cp_sunshine,1151,12,5,1
2837558,NAm,2021-02-14,cp_metalworks,1109,13,0,5
2837608,NAm,2021-02-14,cp_villa_b18,1447,12,1,5
2838192,NAm,2021-02-15,cp_process_final,1774,13,1,4
2838213,NAm,2021-02-15,cp_snakewater_final1,966,12,5,0
2838240,NAm,2021-02-15,cp_sunshine,1784,12,2,1
2838268,NAm,2021-02-15,cp_gullywash_final1,857,12,0,5
2838283,NAm,2021-02-15,koth_product_rcx,1206,12,3,0
2838326,NAm,2021-02-15,cp_process_f7,1779,12,4,0
2839473,NAm,2021-02-16,cp_sunshine,1784,12,1,2
2839500,NAm,2021-02-16,cp_process_f7,1095,12,1,5
2840589,NAm,2021-02-17,cp_process_f7,948,12,5,1
2840656,NAm,2021-02-17,pl_badwater_pro_v12,495,14,1,0
2840722,NAm,2021-02-17,pl_upward,1446,14,1,0
2840839,NAm,2021-02-17,cp_snakewater_final1,1786,12,2,4
2842626,EU,2021-02-19,cp_villa_b18,1769,12,1,2
2842656,EU,2021-02-19,cp_process_f7,1749,12,1,4
2842688,EU,2021-02-19,cp_snakewater_final1,1747,12,4,1
2842731,NAm,2021-02-19,cp_process_f7,1779,13,1,3
2842753,NAm,2021-02-19,cp_sunshine,954,13,5,0
2842777,NAm,2021-02-19,cp_gullywash_final1,1640,12,5,1
2842816,NAm,2021-02-19,cp_metalworks,1421,12,1,5
2842908,NAm,2021-02-19,cp_snakewater_final1,1791,13,1,3
2843574,EU,2021-02-20,cp_gullywash_final1,1167,12,1,6
2843616,EU,2021-02-20,cp_process_f7,1739,14,5,1
2844839,NAm,2021-02-21,pl_upward,1594,18,1,0
2844877,NAm,2021-02-21,cp_snakewater_final1,1779,13,3,1
2844901,NAm,2021-02-21,cp_sunshine,1772,13,4,1
2844914,NAm,2021-02-21,cp_process_f7,909,12,5,0
2844930,NAm,2021-02-21,cp_gullywash_final1,1376,12,4,5
2845110,NAm,2021-02-21,cp_snakewater_final1,1875,13,0,3
2845234,NAm,2021-02-21,cp_process_final,929,12,5,0
2845264,NAm,2021-02-21,cp_gullywash_final1,1784,13,1,2
2845274,NAm,2021-02-21,cp_sunshine,1460,12,1,5
2846002,NAm,2021-02-22,cp_process_f7,1671,13,1,2
2847031,NAm,2021-02-23,cp_sunshine,1633,12,5,1
2847048,NAm,2021-02-23,cp_process_final,944,12,1,3
2847891,EU,2021-02-24,cp_sunshine,1753,12,2,3
2847929,EU,2021-02-24,cp_process_final,1280,12,5,0
2847965,NAm,2021-02-24,cp_gullywash_f1,1769,12,2,4
2847994,NAm,2021-02-24,koth_product_rcx,1246,13,3,1
2848017,NAm,2021-02-24,cp_snakewater_final1,1539,14,5,0
2848036,NAm,2021-02-24,cp_metalworks,1773,14,1,4
2848821,EU,2021-02-25,cp_villa_b18,1329,12,7,2
2848863,EU,2021-02-25,cp_snakewater_final1,1095,12,0,5
2848914,EU,2021-02-25,cp_gullywash_f3,1709,12,6,3
2848937,EU,2021-02-25,cp_process_f7,1739,12,4,2
2851968,NAm,2021-02-28,cp_process_f7,1333,12,5,3
2852000,NAm,2021-02-28,cp_gullywash_final1,1699,12,1,5
2852029,NAm,2021-02-28,cp_snakewater_final1,1789,13,1,1
2853882,EU,2021-03-02,koth_product_rcx,1355,13,1,3
2854881,EU,2021-03-03,cp_process_f5,1779,12,2,0
2854945,EU,2021-03-03,cp_sunshine,879,12,2,0
2855889,EU,2021-03-04,cp_gullywash_final1,874,12,5,0
2855948,EU,2021-03-04,cp_process_f7,1748,12,2,3
2855975,EU,2021-03-04,cp_sunshine,1272,14,5,0
2856217,NAm,2021-03-04,cp_process_f7,1784,12,1,2
2856290,NAm,2021-03-04,cp_gullywash_final1,1700,12,2,5
2857922,EU,2021-03-06,cp_process_f7,1500,12,5,0
2857969,EU,2021-03-06,cp_gullywash_f3,1743,12,1,5
2858006,EU,2021-03-06,koth_product_rcx,975,12,0,3
2858044,EU,2021-03-06,cp_metalworks,1656,12,5,0
2858998,EU,2021-03-07,koth_product_rcx,1396,12,3,1
2859091,EU,2021-03-07,cp_gullywash_f1,1759,13,4,3
2859427,NAm,2021-03-07,cp_snakewater_final1,1795,12,0,1
2859491,NAm,2021-03-07,cp_sunshine,1032,12,0,5
2859541,NAm,2021-03-07,cp_metalworks,1779,12,4,0
2860668,NAm,2021-03-08,cp_snakewater_final1,1789,12,1,1
2860689,NAm,2021-03-08,cp_sunshine,1691,12,0,5
2862266,NAm,2021-03-10,cp_process_f7,1789,12,2,0
2862596,NAm,2021-03-10,cp_gullywash_final1,1235,13,5,1
2862768,NAm,2021-03-10,cp_sunshine,1784,12,1,2
2863389,EU,2021-03-11,cp_sunshine,1769,12,2,1
2863422,EU,2021-03-11,cp_gullywash_final1,1127,12,5,0
2864816,NAm,2021-03-12,cp_villa_b18,1454,12,0,5
2865557,NAm,2021-03-13,cp_snakewater_final1,1778,12,4,1
2866040,NAm,2021-03-13,cp_snakewater_final1,1769,12,4,2
2868522,EU,2021-03-16,pl_upward,476,12,1,0
2868659,EU,2021-03-16,cp_process_f7,1524,12,6,1
2870673,NAm,2021-03-18,cp_snakewater_final1,1952,12,4,1
2870706,NAm,2021-03-18,cp_sunshine,1327,12,5,0
2870800,NAm,2021-03-18,cp_sunshine,1555,12,5,0
2870864,NAm,2021-03-18,cp_gullywash_final1,1781,12,1,3
2870937,NAm,2021-03-18,cp_snakewater_final1,1779,12,0,4
2870954,NAm,2021-03-18,cp_metalworks,1162,13,5,1
2870967,NAm,2021-03-18,cp_process_f7,957,12,0,3
2872330,NAm,2021-03-20,koth_bagel_rc3,783,12,3,0
2872358,NAm,2021-03-20,cp_process_f7,1779,12,4,0
2873337,NAm,2021-03-21,cp_process_f7,1774,12,4,1
2873355,NAm,2021-03-21,cp_sunshine,732,12,2,1
2873426,NAm,2021-03-21,cp_metalworks,1418,12,0,5
2874917,EU,2021-03-23,cp_metalworks,1749,12,3,2
2874969,EU,2021-03-23,cp_villa_b18,1749,13,2,3
2874996,EU,2021-03-23,cp_gullywash_f3,1708,12,4,5
2875590,EU,2021-03-24,cp_metalworks,1268,12,5,0
2875624,NAm,2021-03-24,cp_sunshine,1794,12,1,0
2875626,EU,2021-03-24,cp_snakewater_final1,1137,13,6,1
2875664,EU,2021-03-24,cp_gullywash_f3,1729,12,5,2
2875665,NAm,2021-03-24,cp_metalworks,1859,12,3,0
2875684,NAm,2021-03-24,cp_snakewater_final1,1250,13,1,5
2875693,NAm,2021-03-24,cp_process_f7,900,12,0,5
2875704,NAm,2021-03-24,cp_gullywash_f1,877,12,1,5
2877367,NAm,2021-03-26,cp_villa_b18,923,12,1,5
2877444,NAm,2021-03-26,ultiduo_baloo,1296,4,0,2
2878121,NAm,2021-03-27,cp_process_f7,1784,12,0,3
2878149,NAm,2021-03-27,cp_snakewater_final1,1769,13,3,3
2878179,NAm,2021-03-27,cp_gullywash_final1,1292,12,5,0
2878216,NAm,2021-03-27,cp_sunshine,1789,13,2,0
2878275,NAm,2021-03-27,cp_metalworks,1784,12,3,0
2878347,NAm,2021-03-27,cp_process_f7,1600,12,5,2
2878394,NAm,2021-03-27,cp_gullywash_final1,542,13,5,0
2878453,NAm,2021-03-27,cp_sunshine,1789,13,2,0
2878474,NAm,2021-03-27,cp_snakewater_final1,1778,12,3,1
2879009,NAm,2021-03-28,cp_process_f7,691,12,5,0
2879023,NAm,2021-03-28,cp_snakewater_final1,630,12,0,5
2879057,NAm,2021-03-28,cp_sunshine,1789,13,0,2
2879093,NAm,2021-03-28,cp_metalworks,1769,12,2,4
2879955,NAm,2021-03-29,cp_process_f7,1388,12,0,5
2879984,NAm,2021-03-29,cp_sunshine,1484,12,5,0
2880917,NAm,2021-03-30,cp_sunshine,1205,13,0,5
2880938,NAm,2021-03-30,cp_process_f7,1411,13,5,1
2880986,NAm,2021-03-30,cp_process_f7,1784,12,0,3
2880996,NAm,2021-03-30,cp_sunshine,516,12,5,0
2881027,NAm,2021-03-30,cp_snakewater_final1,1783,12,2,2
2881058,NAm,2021-03-30,cp_metalworks,1236,12,5,0
2881084,NAm,2021-03-30,cp_process_f7,682,12,0,5
2881116,NAm,2021-03-30,cp_sunshine,844,13,5,1
2881246,NAm,2021-03-30,cp_snakewater_final1,1447,12,1,5
2881298,NAm,2021-03-30,cp_metalworks,1784,12,1,2
2881779,NAm,2021-03-31,cp_process_f7,1764,12,3,4
2881824,NAm,2021-03-31,pl_badwater_pro_v12,869,14,0,1
