steamID,steamID3,steamName,discord
8353595235,[U:1:393329507],Aurelisu,
8321483235,[U:1:361217507],absol,absol
8092993736,[U:1:132728008],soonbayer,
8327555111,[U:1:367289383],p0t8oe,
8095951465,[U:1:135685737],Woonters,
8154593997,[U:1:194328269],Pumpkin Attack on Mommy and Dad,Acid
8067247951,[U:1:106982223],Hobominded,
8041694932,[U:1:81429204],Qwerty,
8393873198,[U:1:433607470],Eirudy,Eirudy
8271979688,[U:1:311713960],kraft mac and cheese,
8025440688,[U:1:65174960],Fatty Yogurt,
8453968644,[U:1:493702916],Venny Vengeance,
8103084817,[U:1:142819089],ttv/shagstertf2,shagster
8365705441,[U:1:405439713],Glaxxico,
8045972770,[U:1:85707042],Cacomistle,
8028504034,[U:1:68238306],Facehurt,
8110375757,[U:1:150110029],Mros,
8310324299,[U:1:350058571],Kibble Bites,
8082177132,[U:1:121911404],Nuggie,
8880479135,[U:1:920213407],anomity,
8831962159,[U:1:871696431],"Cockenbol Torcher, PhD",
8827805451,[U:1:867539723],dril,
8834544509,[U:1:874278781],Naga,
8218080704,[U:1:257814976],Dispenser Gaming,
8178256595,[U:1:217990867],Mr91735,
8138615660,[U:1:178349932],Shioyaki,
8127380768,[U:1:167115040],RedTPC,
8084230569,[U:1:123964841],crisp - tf2hub.com,
8061867039,[U:1:101601311],Dasko,
8126720058,[U:1:166454330],Maxhouston,
8436290893,[U:1:476025165],lazermaster351,
8159477925,[U:1:199212197],Machu,
8284178076,[U:1:323912348],aquatic waterfowl,
8322448472,[U:1:362182744],Just trickstabbed scary,
8159308306,[U:1:199042578],Hotshot,
8356049043,[U:1:395783315],Jamillia fangirl,Coin
8125732157,[U:1:165466429],m9,
8136745161,[U:1:176479433],Rella Rella Rella,
8058349742,[U:1:98084014],>> Thomas,
8851095301,[U:1:890829573],Mayonnaise bot (RIP Yomps),
8197934457,[U:1:237668729],[Welvin],
8180525574,[U:1:220259846],knowuh,
8144775041,[U:1:184509313],youngmoneythe3rd,
8002195754,[U:1:41930026],shelz0r,
8830651632,[U:1:870385904],Spekksol,
8136056704,[U:1:175790976],Rahmed,
8042121924,[U:1:81856196],Pinteroni,
8205386960,[U:1:245121232],fallin,
8101995651,[U:1:141729923],Lesbian Fish,
